,id,content,content_clean,content_no_stopwords
21,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cREoFgCBtv,"@Surf alcatraz No, but the car would have USB ports so u could charge it, and if not then get a portable charger", alcatraz No but the car would have USB ports so u could charge it and if not then get a portable charger,alcatraz No car would USB ports u could charge get portable charger
22,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cQHtstCBWp,I dont agree with you. the spec on this one looks tacky if u ask me.,I dont agree with you the spec on this one looks tacky if u ask me,I dont agree spec one looks tacky u ask
23,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cQ6pyGEDgh,you haven't seen the black one,you havent seen the black one,havent seen black one
24,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cPxKA83hDl,@Surf alcatraz youre getting dragged 😆, alcatraz youre getting dragged 😆,alcatraz youre getting dragged 😆
25,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cPCZWQTl3S,@Surf alcatraz just go through the minor inconvenience of not getting lost to begin with. thats how we managed before mobile phones., alcatraz just go through the minor inconvenience of not getting lost to begin with thats how we managed before mobile phones,alcatraz go minor inconvenience getting lost begin thats managed mobile phones
26,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cPBUR94rCK,@Kaviraj Nosib He's trying to make himself feel better about the fact that no one gaf about his Leon., Nosib Hes trying to make himself feel better about the fact that no one gaf about his Leon,Nosib Hes trying make feel better fact one gaf Leon
27,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cOa1mfiQpr,automatic. throwing the fuck up rn,automatic throwing the fuck up rn,automatic throwing fuck rn
28,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cORmVulLGc,"Centodieci is not a daily-drive vehicle, so the customer won't need a display screen on the dashboard
He'll get that in his Urus or whatever everyday SUV he drives..","Centodieci is not a dailydrive vehicle so the customer wont need a display screen on the dashboard
Hell get that in his Urus or whatever everyday SUV he drives",Centodieci dailydrive vehicle customer wont need display screen dashboard Hell get Urus whatever everyday SUV drives
29,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cOEukXMN44,@Surf alcatraz yes of course you need an infotainment system in that ugly car and I have a red seat leon cupra 2003 at home which is a beautiful car and does not need infotainment, alcatraz yes of course you need an infotainment system in that ugly car and I have a red seat leon cupra 2003 at home which is a beautiful car and does not need infotainment,alcatraz yes course need infotainment system ugly car I red seat leon cupra 2003 home beautiful car need infotainment
30,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cOEiRF9APh,@Surf alcatraz yes of course you need an infotainment system in that ugly piece of shit and I have a red seat leon cupra 2003 at home which is a beautiful car, alcatraz yes of course you need an infotainment system in that ugly piece of shit and I have a red seat leon cupra 2003 at home which is a beautiful car,alcatraz yes course need infotainment system ugly piece shit I red seat leon cupra 2003 home beautiful car
